tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
100070,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-A power station Unit 4,Afşin-Elbistan-A power station,,EÜAŞ,Çelikler Holding,364,Mothballed,1987,non-EU Europe,38.3472108,37.0260017
100071,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-B power station Unit 1,Afşin-Elbistan-B power station,,EÜAŞ,EÜAŞ,391,Operating,2005,non-EU Europe,38.353291,36.9810789
100072,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-B power station Unit 2,Afşin-Elbistan-B power station,,EÜAŞ,EÜAŞ,391,Operating,2006,non-EU Europe,38.353291,36.9810789
100073,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-B power station Unit 3,Afşin-Elbistan-B power station,,EÜAŞ,EÜAŞ,391,Operating,2006,non-EU Europe,38.353291,36.9810789
100074,https://www.gem.wiki/Af%C5%9Fin-Elbistan_power_complex,Turkey,Kahramanmaraş,Afşin-Elbistan-B power station Unit 4,Afşin-Elbistan-B power station,,EÜAŞ,EÜAŞ,391,Operating,2006,non-EU Europe,38.353291,36.9810789
100075,https://www.gem.wiki/Dinar_power_station,Turkey,Afyon,Dinar power station,Dinar power station,,Turkish Coal Enterprise,TBD,3500,Announced,,non-EU Europe,38.064,30.167
100076,https://www.gem.wiki/A%C4%9Fan_power_station,Turkey,Çanakkale,Ağan power station Unit 1,Ağan power station,,DD Elektrik,Doğanlar Holding,790,Cancelled,,non-EU Europe,40.44982294,27.30435562
100088,https://www.gem.wiki/Akdeniz_Enerji_power_station,Turkey,Mersin,Akdeniz Enerji power station,Akdeniz Enerji power station,,Nurol Enerji Üretim,Nurol Enerji Üretim,1600,Cancelled,,non-EU Europe,36.201759,33.671397
100097,https://www.gem.wiki/Aksa_power_station,Turkey,Yalova,Aksa power station,Aksa power station,,Aksa Akrilik Kimya Sanayii,Akkök Group,142,Operating,2013,non-EU Europe,40.68927,29.40495
100125,https://www.gem.wiki/Alia%C4%9Fa_Enka_power_station,Turkey,İzmir,Aliağa Enka power station,Aliağa Enka power station,,Enka Enerji Üretim,ENKA,800,Cancelled,,non-EU Europe,38.746,26.912
100145,https://www.gem.wiki/Amasra_Bart%C4%B1n_power_station,Turkey,Bartın,Amasra Bartın power station Unit 1,Amasra Bartın power station,,Bati Karadeniz Elektrik Üretim A.Ş.,Hattat Holding,600,Cancelled,,non-EU Europe,41.72704,32.34971
100389,https://www.gem.wiki/Astoria_Ceyhan_power_station,Turkey,Adana,Astoria Ceyhan power station Unit 1,Astoria Ceyhan power station,,Astoria İç ve Dış Ticaret A.Ş.,Astoria İç ve Dış Ticaret A.Ş.,660,Cancelled,,non-EU Europe,36.90659,35.96236
100390,https://www.gem.wiki/Astoria_Ceyhan_power_station,Turkey,Adana,Astoria Ceyhan power station Unit 2,Astoria Ceyhan power station,,Astoria İç ve Dış Ticaret A.Ş.,Astoria İç ve Dış Ticaret A.Ş.,660,Cancelled,,non-EU Europe,36.90659,35.96236
